scope,rounds,last_round,last_accuracy,last_precision,last_recall,last_f1,last_attack_accuracy,last_attack_precision,last_attack_recall,last_attack_f1,best_accuracy,best_accuracy_round,best_precision,best_precision_round,best_recall,best_recall_round,best_f1,best_f1_round,best_attack_accuracy,best_attack_accuracy_round,best_attack_precision,best_attack_precision_round,best_attack_recall,best_attack_recall_round,best_attack_f1,best_attack_f1_round,client,last_loss,last_confusion_matrix
server,5,5,0.9312340425531916,0.93907919793289,0.9312340425531916,0.9292252093686868,0.987659574468085,0.9854512250287548,0.9939042553191488,0.9894119541779548,0.9313829787234044,4,0.93907919793289,5,0.9313829787234044,4,0.929728579625305,4,0.987659574468085,5,0.9854887206213072,3,0.9939042553191488,5,0.9894119541779548,5,,,
client_fridge,5,5,0.8287142857142857,0.8488779732628225,0.8287142857142857,0.8290332796022651,0.9432857142857144,0.9138525155065472,0.9945,0.952472165688974,0.8317142857142857,4,0.850243959939093,4,0.8317142857142857,4,0.8333045397805923,4,0.9434285714285714,1,0.9140625,1,0.9945,1,0.9525862068965516,1,fridge,0.348063200712204,"[[766, 105, 106, 22, 1], [0, 478, 0, 0, 522], [1, 0, 999, 0, 0], [188, 63, 0, 2625, 124], [0, 67, 0, 0, 933]]"
client_garage,5,5,0.9175714285714286,0.9308537212280528,0.9175714285714286,0.9077436462420384,1.0,1.0,1.0,1.0,0.9184285714285716,4,0.9308537212280528,5,0.9184285714285716,4,0.9119659149288246,1,1.0,1,1.0,1,1.0,1,1.0,1,garage,0.1669726222753524,"[[978, 14, 8, 0, 0], [300, 451, 0, 0, 249], [0, 0, 1000, 0, 0], [0, 0, 0, 3000, 0], [1, 5, 0, 0, 994]]"
client_gps_tracker,5,5,0.9991428571428572,0.9991443769323252,0.9991428571428572,0.9991427845831982,0.9995714285714286,0.9997499374843712,0.9995,0.99962495311914,0.9995714285714286,4,0.999571571285857,4,0.9995714285714286,4,0.9995714523611198,4,0.9998571428571428,2,0.9997500624843788,2,1.0,2,0.9998750156230471,2,gps_tracker,0.024046391248703,"[[1000, 0, 0, 0, 0], [0, 998, 0, 2, 0], [3, 0, 997, 0, 0], [0, 0, 0, 2999, 1], [0, 0, 0, 0, 1000]]"
client_modbus,5,5,0.9726666666666668,0.9760719267790816,0.9726666666666668,0.9724079263391114,0.9985,0.9993322203672788,0.9976666666666668,0.9984987489574646,0.9726666666666668,5,0.9760719267790816,5,0.9726666666666668,5,0.9724079263391114,5,0.9985,5,1.0,1,0.9976666666666668,5,0.9984987489574646,5,modbus,0.0867882668972015,"[[838, 0, 155, 7, 0], [0, 0, 0, 0, 0], [0, 0, 1000, 0, 0], [2, 0, 0, 2998, 0], [0, 0, 0, 0, 1000]]"
client_motion_light,5,5,0.8217142857142857,0.8380187301799388,0.8217142857142857,0.817978851447141,0.9785714285714284,0.9895727365208544,0.97275,0.981089258698941,0.8217142857142857,5,0.851699288090921,3,0.8217142857142857,5,0.817978851447141,5,0.9792857142857144,1,0.9895727365208544,5,0.97675,1,0.981781630858148,1,motion_light,0.3552782833576202,"[[805, 65, 0, 5, 125], [316, 456, 0, 104, 124], [0, 0, 1000, 0, 0], [0, 41, 0, 2959, 0], [443, 25, 0, 0, 532]]"
client_thermostat,5,5,0.994,0.9940044662878514,0.994,0.9939745859961208,0.9966666666666668,0.999664654594232,0.9936666666666668,0.9966566365763958,0.994,5,0.9940044662878514,5,0.994,5,0.9939745859961208,5,0.9968333333333332,4,0.999664767013074,4,0.994,4,0.9968243356175832,4,thermostat,0.0455655828118324,"[[971, 0, 0, 19, 10], [0, 0, 0, 0, 0], [0, 0, 1000, 0, 0], [0, 0, 0, 2999, 1], [6, 0, 0, 0, 994]]"
client_weather,5,5,0.9997142857142856,0.9997143333174656,0.9997142857142856,0.999714261884912,0.9998571428571428,1.0,0.99975,0.9998749843730468,0.9997142857142856,4,0.9997145711431424,4,0.9997142857142856,4,0.9997142856428572,4,1.0,2,1.0,1,1.0,2,1.0,2,weather,0.0233553852885961,"[[1000, 0, 0, 0, 0], [0, 999, 0, 0, 1], [0, 0, 1000, 0, 0], [0, 0, 0, 3000, 0], [0, 0, 0, 1, 999]]"
