round,clients,samples,accuracy,precision,recall,f1,attack_accuracy,attack_precision,attack_recall,attack_f1
1,7,47000,0.9206595744680851,0.9274102833616499,0.9206595744680851,0.9206841864160783,0.9867659574468085,0.984861258371491,0.9927074468085106,0.9885198128255082
2,7,47000,0.9266170212765957,0.9344380269530245,0.9266170212765957,0.9260302178118395,0.9870851063829787,0.9854869669805989,0.9927712765957447,0.9888586419666763
3,7,47000,0.9291489361702128,0.9380261720639266,0.9291489361702128,0.9279302106912944,0.9867872340425532,0.9854887206213071,0.9922659574468085,0.9886009460825054
4,7,47000,0.9313829787234043,0.9386047841786865,0.9313829787234043,0.929728579625305,0.9871489361702128,0.9851936761353438,0.9932340425531915,0.9889462103764637
5,7,47000,0.9312340425531915,0.9390791979328901,0.9312340425531915,0.9292252093686868,0.987659574468085,0.9854512250287547,0.9939042553191489,0.9894119541779547
