round,loss,accuracy,precision_weighted,recall_weighted,f1_weighted,attack_accuracy,attack_precision,attack_recall,attack_f1,confusion_matrix
1,0.06112254783511162,0.9875,0.9874680319748013,0.9875,0.9874094317902441,0.9943333333333333,0.9993265993265993,0.9893333333333333,0.9943048576214405,"[[945, 0, 2, 31, 22], [0, 0, 0, 0, 0], [2, 0, 998, 0, 0], [0, 0, 1, 2998, 1], [15, 0, 0, 1, 984]]"
2,0.049694523215293884,0.9905,0.990486596845308,0.9905,0.9904474197003328,0.996,0.9996642041638684,0.9923333333333333,0.9959852793576447,"[[958, 0, 2, 21, 19], [0, 0, 0, 0, 0], [0, 0, 1000, 0, 0], [0, 0, 0, 2999, 1], [12, 0, 0, 2, 986]]"
3,0.04867039993405342,0.991,0.9910060891414783,0.991,0.990940209916874,0.9956666666666667,0.9996639784946236,0.9916666666666667,0.9956492637215528,"[[956, 0, 2, 25, 17], [0, 0, 0, 0, 0], [0, 0, 1000, 0, 0], [0, 0, 0, 2999, 1], [9, 0, 0, 0, 991]]"
4,0.04416520148515701,0.9928333333333333,0.9928318892052198,0.9928333333333333,0.9928025628830952,0.9968333333333333,0.999664767013074,0.994,0.9968243356175831,"[[967, 0, 0, 18, 15], [0, 0, 0, 0, 0], [0, 0, 1000, 0, 0], [0, 0, 0, 2999, 1], [9, 0, 0, 0, 991]]"
5,0.04556558281183243,0.994,0.9940044662878514,0.994,0.9939745859961207,0.9966666666666667,0.999664654594232,0.9936666666666667,0.9966566365763958,"[[971, 0, 0, 19, 10], [0, 0, 0, 0, 0], [0, 0, 1000, 0, 0], [0, 0, 0, 2999, 1], [6, 0, 0, 0, 994]]"
